Timestamp,Favorite color of provided,Major,Favorite number (your choice),Favorite number (from provided),"Oh no, this is new"
6/7/2021 11:04:59,Purple,CEG,42,42,
6/7/2021 12:27:41,Purple,CS,4,3,
6/7/2021 12:27:55,Blue,CS,13,3,
6/7/2021 12:28:05,Red,Other,forty seven,3.14,
6/7/2021 12:28:56,Red,Other,I like all the numbers,3.14,
6/7/2021 12:31:21,Blue,CS,pi,3.14,
6/7/2021 12:32:41,Red,ITC,35,42,
6/7/2021 12:40:02,Blue,CS,66,42,
6/7/2021 12:40:19,Blue,CS,Execute Order 66,42,
6/7/2021 17:04:51,Red,ITC,My favorite number is thirty-five.,42,
6/7/2021 17:37:27,Blue,CS,56,5,
6/8/2021 21:42:08,Purple,,,,
6/8/2021 21:44:00,Blue,CEG,,42,
6/8/2021 21:44:16,Yellow,ITC,No,3.14,
6/8/2021 21:44:57,"Purple, Yellow",CS,Twenty-one,5,
6/10/2021 18:14:08,Red,Other,64,42,
6/11/2021 14:31:33,Red,ITC,73,42,
6/11/2021 14:32:40,Blue,ITC,seventy-three,3.14,
6/11/2021 18:15:45,Purple,CS,My favorite number is 5,5,
6/12/2021 17:09:17,Blue,CS,7,5,
7/7/2021 21:13:22,,CEG,72,5,
7/7/2021 21:13:40,,CEG,twenty four,42,
7/7/2021 21:18:45,Yellow,CS,12,3,Do it
7/7/2021 21:19:01,"Purple, Red",CEG,67,5,Don't do it
7/7/2021 21:19:18,Red,ITC,78,3.14,Don't do it